Threat Id,,,,Latitude,Longitude,Altitude,Latitude(Predicted),Longitude(Predicted),Altitude(Predicted)
3786,,,,42.426491670351005,-71.33618873,10824,42.431533167455179,-71.32915267,10939
3726,,,,42.77588397370517,-71.98264305,5187,42.779141255485527,-71.98006221,5183
3794,,,,42.285118629409205,-71.34065725,4118,42.282766956172445,-71.34452511,4048
3797,,,,42.320989783117952,-71.2505245,4046,42.320044303935667,-71.2535222,4033
3606,,,,42.801425713770222,-71.44179036,5107,42.802540075042167,-71.44865854,5011
3799,,,,42.620735127553587,-71.49111858,955,42.621425689231486,-71.49173445,964
3743,,,,42.594900656217945,-71.59844884,510,42.59457350016929,-71.59820207,482
3618,,,,42.546918388193092,-71.50469422,4005,42.547140920142262,-71.50403543,4022
3747,,,,42.506050162847842,-71.36258635,1432,42.506721474866112,-71.35982538,1403
3749,,,,42.520490239788636,-71.5435011,643,42.520882039672607,-71.54357542,726
3753,,,,42.265775195897689,-71.47164306,4825,42.264326213328005,-71.47658944,4794
1006,,,,42.58439133528384,-71.62746389,588,42.58427319686357,-71.62741552,603
3633,,,,42.833958026896852,-71.77773427,6525,42.834256984726068,-71.78444637,6578
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,,,,,,
3641,,,,42.672583430866048,-71.42296183,1718,42.674716317747411,-71.42375263,1806
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.60097981248061,-71.45524274,1337,42.601441343729206,-71.45372308,1341
3784,,,,42.494589102408078,-71.3080264,1303,42.49706764,-71.30440977,1393
3786,,,,42.426491670351005,-71.33618873,10824,42.431533167455179,-71.32915267,10939
3726,,,,42.777623222764809,-71.98088975,5294,42.781230628611382,-71.97788804,5319
3794,,,,42.285118629409205,-71.34065725,4118,42.282766956172445,-71.34452511,4048
3797,,,,42.320989783117952,-71.2505245,4046,42.320044303935667,-71.2535222,4033
3606,,,,42.801293235751977,-71.44279925,5121,42.802151624199993,-71.44917982,5036
3799,,,,42.620735127553587,-71.49111858,955,42.621425689231486,-71.49173445,964
3743,,,,42.594739168129564,-71.59813788,474,42.59433590924278,-71.59773565,433
3618,,,,42.547152273851367,-71.50443393,4007,42.547533531910609,-71.50370504,4022
3747,,,,42.506050162847842,-71.36258635,1432,42.506721474866112,-71.35982538,1403
3749,,,,42.520490239788636,-71.5435011,643,42.520882039672607,-71.54357542,726
3753,,,,42.265381418302454,-71.47299922,4826,42.263922609992306,-71.47800819,4801
1006,,,,42.584175849700038,-71.62768144,598,42.583852282383148,-71.62812347,619
3633,,,,42.83386617,-71.77961264,6598,42.834079899013062,-71.78638616,6664
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,,,,,,
3641,,,,42.673463954624722,-71.4227862,1489,42.675411817638349,-71.423344,1492
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.60253095,-71.45488178,1311,42.603934035196808,-71.45363039,1304
3784,,,,42.494589102408078,-71.3080264,1303,42.49706764,-71.30440977,1393
3786,,,,42.43103918,-71.33006282,10904,42.436473504595469,-71.32257956,11020
3726,,,,42.777928654807056,-71.98065905,5331,42.78129104,-71.97787161,5362
3794,,,,42.285091277598966,-71.34086942,4594,42.284323047326232,-71.34199935,4732
3797,,,,42.321577663072148,-71.25113256,4053,42.321095668909045,-71.2535077,4046
3606,,,,42.801293235751977,-71.44279925,5121,42.802151624199993,-71.44917982,5036
3799,,,,42.590930196150104,-71.65655934,664,42.59000924,-71.65652947,696
3743,,,,42.594547432354126,-71.59792978,470,42.594148814195535,-71.59744501,435
3618,,,,42.547463353006066,-71.50403132,4019,42.547920389083075,-71.50327811,4036
3747,,,,42.503656231137249,-71.36036668,1480,42.502904179007231,-71.35846384,1473
3749,,,,42.520490239788636,-71.5435011,643,42.520882039672607,-71.54357542,726
3753,,,,42.264585982566658,-71.4763277,4887,42.263083139360795,-71.48179052,4880
1006,,,,42.584257078710465,-71.62763231,601,42.584172751613131,-71.62783313,619
3633,,,,42.83386617,-71.77961264,6598,42.834079899013062,-71.78638616,6664
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,,,,,,
3641,,,,42.673023781639394,-71.4221007,1501,42.67450257260392,-71.42221916,1507
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.602655772265443,-71.45438,1244,42.603864166165707,-71.45307157,1213
3784,,,,42.494257021986279,-71.30437758,1270,42.494847792707318,-71.30157628,1305
3786,,,,42.433521179669754,-71.32675641,10974,42.438944080436571,-71.31938532,11090
3726,,,,42.779959837304013,-71.97902247,5292,42.783488914477907,-71.97612304,5310
3794,,,,42.285091277598966,-71.34086942,4594,42.284323047326232,-71.34199935,4732
3797,,,,42.321577663072148,-71.25113256,4053,42.321095668909045,-71.2535077,4046
3606,,,,42.801973595213951,-71.44662277,5096,42.802984370581271,-71.45341927,5017
3799,,,,42.591562340092466,-71.65592477,636,42.591866335234037,-71.65513514,633
3743,,,,42.594403292731442,-71.59777344,475,42.59433735174899,-71.5971597,415
3618,,,,42.547463353006066,-71.50403132,4019,42.547920389083075,-71.50327811,4036
3747,,,,42.503656231137249,-71.36036668,1480,42.502904179007231,-71.35846384,1473
3749,,,,42.520490239788636,-71.5435011,643,42.520882039672607,-71.54357542,726
3753,,,,42.264026885908685,-71.47865196,4922,42.262396152910036,-71.4846223,4927
1006,,,,42.58426354199824,-71.62770534,608,42.584012016736907,-71.62771217,621
3633,,,,42.833906258300168,-71.78312239,6607,42.834052629035284,-71.79001307,6668
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.321554839695729,-71.25123965,4132,42.321529710251951,-71.25300258,4078
3641,,,,42.673023781639394,-71.4221007,1501,42.67450257260392,-71.42221916,1507
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.603534184026941,-71.45381371,1190,42.604943378845576,-71.45256162,1145
3784,,,,42.494257021986279,-71.30437758,1270,42.494847792707318,-71.30157628,1305
3786,,,,42.43533201,-71.32427356,10983,42.440929835674218,-71.31666798,11091
3726,,,,42.780767122490637,-71.97833754,5307,42.784256487196934,-71.97544954,5327
3794,,,,42.285091277598966,-71.34086942,4594,42.284323047326232,-71.34199935,4732
3606,,,,42.802015106658267,-71.44833612,5175,42.802932109588419,-71.45501905,5126
3799,,,,42.59141908101067,-71.65585544,623,42.59145214,-71.65521499,613
3743,,,,42.594125910245133,-71.59738964,484,42.593574823311954,-71.59667429,464
3618,,,,42.547486705731124,-71.50376033,4060,42.547718826753155,-71.50315605,4087
3747,,,,42.502933938421407,-71.3595939,1566,42.502034947878315,-71.35774623,1590
3749,,,,42.520490239788636,-71.5435011,643,42.520882039672607,-71.54357542,726
3753,,,,42.263541506266556,-71.48053013,4974,42.262030525652683,-71.48605967,4993
1006,,,,42.584332510024744,-71.62770983,614,42.58408098,-71.62771667,628
3633,,,,42.833237389737732,-71.78598578,6800,42.833124646476641,-71.79339739,6903
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.32287513846817,-71.25067918,4031,42.322850028507652,-71.25244218,3977
3641,,,,42.67343642,-71.42186756,1511,42.67475638842739,-71.42178274,1520
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.603085096383438,-71.45320773,1178,42.603905021764064,-71.45183754,1133
3784,,,,42.49598386,-71.30164194,1236,42.497176800383421,-71.29855586,1256
3786,,,,42.437471406669921,-71.32109812,11015,42.442830367700772,-71.31375249,11118
3726,,,,42.781933292208592,-71.97724417,5338,42.785593233421366,-71.97418335,5364
3794,,,,42.285091277598966,-71.34086942,4594,42.284323047326232,-71.34199935,4732
3606,,,,42.802230709022631,-71.45142769,5255,42.803057175238706,-71.45800556,5237
3799,,,,42.59141908101067,-71.65585544,623,42.59145214,-71.65521499,613
3743,,,,42.59392617106041,-71.59702614,456,42.59335054,-71.59618638,427
3618,,,,42.547519862021893,-71.50370379,4080,42.54774617540896,-71.50307326,4102
3747,,,,42.502933938421407,-71.3595939,1566,42.502034947878315,-71.35774623,1590
3753,,,,42.263242804693007,-71.48125462,4925,42.261817466315883,-71.48632699,4929
3756,,,,42.591561385442915,-71.6557086,620,42.592125238608858,-71.65478265,570
1006,,,,42.584443090044346,-71.62768751,618,42.584620248621974,-71.62771251,635
3633,,,,42.833237389737732,-71.78598578,6800,42.833124646476641,-71.79339739,6903
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.32287513846817,-71.25067918,4031,42.322850028507652,-71.25244218,3977
3641,,,,42.67343642,-71.42186756,1511,42.67475638842739,-71.42178274,1520
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.602995609646214,-71.45245664,1192,42.603476764120927,-71.45106963,1159
3784,,,,42.49598386,-71.30164194,1236,42.497176800383421,-71.29855586,1256
3786,,,,42.438765800316069,-71.31860239,10941,42.444016757585821,-71.31108755,11013
3726,,,,42.78335728,-71.97593718,5356,42.787213642037337,-71.97264992,5384
3794,,,,42.285091277598966,-71.34086942,4594,42.284323047326232,-71.34199935,4732
3606,,,,42.802285558013573,-71.4530862,5304,42.803038682168996,-71.45959461,5301
3743,,,,42.593841723515141,-71.59684788,436,42.593336502793896,-71.59595194,399
3618,,,,42.547560133118822,-71.50341092,4063,42.547786445380552,-71.50278039,4084
3746,,,,42.594498493708151,-71.5974325,465,42.59431114,-71.59674633,428
3747,,,,42.502933938421407,-71.3595939,1566,42.502034947878315,-71.35774623,1590
3753,,,,42.263242804693007,-71.48125462,4925,42.261817466315883,-71.48632699,4929
3756,,,,42.59141908101067,-71.65585544,623,42.591982933984262,-71.6549295,573
1006,,,,42.584464556652435,-71.62768933,618,42.58428089,-71.62767599,634
3633,,,,42.833185329709231,-71.79227791,6739,42.83301711914222,-71.79990486,6808
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,42.32287513846817,-71.25067918,4031,42.322850028507652,-71.25244218,3977
3641,,,,42.674178415484107,-71.42157555,1547,42.67535675422404,-71.4213164,1567
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.602995609646214,-71.45245664,1192,42.603476764120927,-71.45106963,1159
3784,,,,42.499425536011969,-71.29856446,962,42.501894164017529,-71.29482527,896
3786,,,,42.438765800316069,-71.31860239,10941,42.444016757585821,-71.31108755,11013
3726,,,,42.785055414244823,-71.97449197,5372,42.78884076,-71.97125494,5401
3794,,,,42.280327730193591,-71.35029708,4897,42.277913361317815,-71.35481823,5017
